"Save Selected Categories","Save Selected Categories"
"Please click","Please click"
""Reset Filter"",""Reset Filter""
"button to show all colors. Then remember to click","button to show all colors. Then remember to click"
""Save Selected Colors"",""Save Selected Colors""
" button to show all fonts. Then remember to click "," button to show all fonts. Then remember to click "
""Save Selected Fonts"",""Save Selected Fonts""
"Save Selected Fonts","Save Selected Fonts"
"Add New Side","Add New Side"
"Side Title","Side Title"
"Set Canvas Size","Set Canvas Size"
"Portrait (8.5 x 11)","Portrait (8.5 x 11)"
"Landscape (11 x 8.5)","Landscape (11 x 8.5)"
"Business Card (3.5 x 2)","Business Card (3.5 x 2)"
"Postcard (6 x 4)","Postcard (6 x 4)"
"Custom Size","Custom Size"
"Canvas Width","Canvas Width"
"Canvas Height","Canvas Height"
"Help?","Help?"
"Blank","Blank"
"Background Image","Background Image"
"Using Color","Using Color"
"Color Name","Color Name"
"Width","Width"
"Top","Top"
"Left","Left"
"Use Mask Layer","Use Mask Layer"
"Mask Image","Mask Image"
"Should use transparent image","Should use transparent image"
"Products Designer Canvas","Products Designer Canvas"
"Enable PDC for this product","Enable PDC for this product"
"Create sample design","Create sample design"
"General Information","General Information"
"Color Hex","Color Hex"
"Color Thumbnail","Color Thumbnail"
"Image of current color for each side","Image of current color for each side"
"This option required all design sides must use background image and mask/overlay image","This option required all design sides must use background image and mask/overlay image"
"Side Label","Side Label"
"Background Preview","Background Preview"
"Overlay Image","Overlay Image"
"Overlay Image Preview","Overlay Image Preview"
"Click the leaf to enter hex code :)","Click the leaf to enter hex code :)"
"Color chart (Hexa Codes, Color Names)","Color chart (Hexa Codes, Color Names)"
"See more colors schemes:","See more colors schemes:"
"Color Information","Color Information"
"Uncategorized","Uncategorized"
"Root Category","Root Category"







